CAMPO,DESCRIPCION,LONGITUD,TIPO_DATO,RANGO_VALIDO,METADATOS
P7_5_1,7.5 ¿Se conecta a Internet por medio de: 1. computadora de escritorio?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_5_2,"2. computadora portátil (laptop, notebook)?",1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_5_3,3. tablet?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_5_4,4. celular inteligente (Smartphone)?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_5_5,5. televisión con acceso a Internet (Smart TV) o algún dispositivo conectado a ésta?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_5_6,6. consola de videojuegos?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_5_7,7. Otro equipo,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_5_7E,Especifique,250,Varchar,"[0-9, A-Z; Símbolos], b","Especifique, b blanco"
P7_6,7.6 ¿Desde hace cuánto tiempo utiliza Internet?,1,Varchar,"[1-5], b","1 Menos de 1 año,2 Entre 1 y hasta 2 años,3 Más de 2 y hasta 5 años,4 Más de 5 años,5 No recuerda,b blanco"
P7_7_1,7.7 ¿Ha utilizado Internet en: 1. el hogar?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_7_2,2. el trabajo?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_7_3,3. la escuela o institución educativa?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_7_4,4. un sitio público con costo?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_7_5,5. un sitio público sin costo?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_7_6,6. casa de otra persona (amigo o familiar)?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_7_7,7. cualquier lugar mediante una conexión móvil (incluye Smartphone)?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_7_8,8. Otro lugar,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_7_8E,Especifique,250,Varchar,"[0-9, A-Z; Símbolos], b","Especifique, b blanco"
P7_8_1,"7.8 En los últimos tres meses, ¿ha buscado en Internet información sobre: 1. salud?",1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_8_2,"2. empleos, bolsas de trabajo (solo para elegido de 15 años o más)?",1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_8_3,"3. educación, investigación o tareas?",1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_8_4,"4. viajes, hoteles y vuelos?",1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_8_5,5. páginas de blogs?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_8_6,6. cursos en línea?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_8_7,7. Otro tipo de información,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_8_7E,Especifique,250,Varchar,"[0-9, A-Z; Símbolos], b","Especifique, b blanco"
P7_9_1,"7.9 En los últimos tres meses, ¿ha utilizado el Internet para: 1. enviar correos electrónicos?",1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_9_2,2. realizar conversaciones telefónicas (a través de Skype o Whatsapp)?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_9_3,"3. enviar mensajes instantáneos (Whatsapp, Messenger, Twitter, etcétera)?",1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_9_4,4. Otro medio de comunicación,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_9_4E,Especifique,250,Varchar,"[0-9, A-Z; Símbolos], b","Especifique, b blanco"
P7_10_1,"7.10 En los últimos tres meses, ¿en Internet: 1. leyó periódicos, revistas o libros?",1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_10_2,"2. vio películas, series, conciertos y otros audiovisuales de pago (Netflix, Clarovideo, Blim, OTT, etc)?",1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_10_3,"3. vio películas, series, conciertos y otro audiovisuales gratuitos (Youtube)?",1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_10_4,"4. escuchó música gratis que no sea radio AM y FM (Spotify, Google music, etc)?",1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_10_5,5. jugó en línea?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_10_6,6. accedió a contenidos de radio AM o FM?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_10_7,7. Otro tipo de entretenimiento,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_10_7E,Especifique,250,Varchar,"[0-9, A-Z; Símbolos], b","Especifique, b blanco"
P7_11,"7.11 En los últimos tres meses, ¿usted ha creado o desarrollado sitios de Internet o blogs?",1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_12,"7.12 En los últimos tres meses, ¿ha usado redes sociales?",1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_13_1,7.13 ¿Qué redes sociales utiliza?: Facebook,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_13_2,Twitter,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_13_3,Instagram,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_13_4,LinkedIn,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_13_5,Snapchat,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_13_6,Otras redes,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_13_6E,Especifique,250,Varchar,"[0-9, A-Z; Símbolos], b","Especifique, b blanco"
P7_14,7.14 ¿Tiene cuenta a su nombre en alguna red social?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_15_1,"7.15 En los últimos tres meses, ¿ha utilizado Internet para: 1. descargar software o aplicaciones?",1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_15_2,"2. utilizar servicios en la nube (Dropbox, hosting o alojamiento, de paga o gratuitos)?",1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_16_1,"7.16 En los últimos tres meses por el uso del Internet, ¿ha tenido: 1. infección por virus?",1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_16_2,2. exceso de información no deseada?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_16_3,3. interrupciones en el servicio?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_16_4,4. lentitud en la transferencia de la información?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_16_5,"5. fraudes con información (financiera, personal, etc.)?",1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_16_6,6. violación a la privacidad?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_16_7,7. mensajes de personas desconocidas?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_16_8,8. Otro problema,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_16_8E,Especifique,250,Varchar,"[0-9, A-Z; Símbolos], b","Especifique, b blanco"
P7_17,"7.17 En los últimos 12 meses, ¿ha realizado ventas por Internet?",1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_18,7.18 ¿Realiza ventas de manera…,1,Varchar,"[1-2], b","1 regular?,2 esporádica?,b blanco"
P7_19,"7.19 En los últimos 12 meses, ¿ha realizado compras por Internet? (Excluya compras por motivo de trabajo e incluya las realizadas para su negocio)",1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_20_1,7.20 ¿Por qué no ha realizado compras por Internet?: Prefiere comprar en persona,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_20_2,Falta de interés,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_20_3,No tiene la necesidad,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_20_4,Desconfía en la calidad del producto que recibirá,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_20_5,"Desconfía en la seguridad del proceso de compra (privacidad de los datos, robo de identidad o de datos de tarjetas)",1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_20_6,"No cuenta con tarjeta de crédito, débito o servicios de Banca en línea",1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_20_7,No sabe cómo hacerlo,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_20_8,Otra razón,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_20_8E,Especifique,250,Varchar,"[0-9, A-Z; Símbolos], b","Especifique, b blanco"
P7_21,"7.21 Por lo general, ¿con qué frecuencia realiza compras por Internet?",1,Varchar,"[1-6], b","1 Diario (7 días a la semana),2 Al menos una vez a la semana,3 Una vez cada quince días,4 Una vez al mes,5 Al menos una vez cada seis meses,6 Al menos una vez al año,b blanco"
P7_22_1,"7.22 En los últimos 12 meses, ¿usted ha comprado por Internet: 1. libros (Incluye libros electrónicos)?",1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_22_2,2. música y videos?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_22_3,"3. computadoras, laptops o tablets?",1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_22_4,4. programas y/o aplicaciones (software)?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_22_5,5. alimentos y bebidas?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_22_6,6. reservaciones y boletos?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_22_7,7. aparatos electrónicos?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_22_8,8. Otro producto,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_22_8E,Especifique,250,Varchar,"[0-9, A-Z; Símbolos], b","Especifique, b blanco"
P7_23,7.23 ¿El sitio de Internet donde ha realizado las compras es…,1,Varchar,"[1-3], 9, b","1 nacional?,2 extranjero?,3 ambos?,9 No sabe,b blanco"
P7_24,"7.24 En los últimos 12 meses, ¿tuvo algún problema al realizar las compras?",1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_25_1,7.25 ¿El problema que tuvo fue: 1. relacionado con la entrega?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_25_2,2. con la seguridad del pago?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_25_3,3. con la seguridad de los datos personales?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_25_4,4. Otro problema,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_25_4E,Especifique,250,Varchar,"[0-9, A-Z; Símbolos], b","Especifique, b blanco"
P7_26,"7.26 En los últimos 12 meses, ¿ha realizado pagos por Internet, ya sea por compras o algún servicio?",1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_27,7.27 ¿Por qué no ha realizado pagos por Internet?,1,Varchar,"[1-6], b","1 Prefiere realizarlo en persona,2 No tiene la necesidad,3 Desconfía en la seguridad del proceso de pago (privacidad de los datos, robo de identidad de los datos de la tarjeta),""4 No cuenta con tarjeta de crédito, débito o servicios,de Banca en línea"",5 No sabe hacerlo,6 Otra razón,b blanco"
P7_27E,Especifique,250,Varchar,"[0-9, A-Z; Símbolos], b","Especifique, b blanco"
P7_28,7.28 ¿Con qué frecuencia ha realizado pagos por Internet?,1,Varchar,"[1-6], b","1 Diario (7 días a la semana),2 Al menos una vez a la semana,3 Una vez cada quince días,4 Una vez al mes,5 Al menos una vez cada seis meses,6 Al menos una vez al año,b blanco"
P7_29_1,"7.29 En los últimos 12 meses los pagos que ha realizado por Internet, ¿han sido por: 1. servicios bancarios o financieros?",1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_29_2,2. servicios o trámites de gobierno?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_29_3,3. servicios educativos?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_29_4,4. bienes o servicios para el hogar o personales?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_29_5,5. por alguna compra?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_29_6,6. Otros pagos,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_29_6E,Especifique,250,Varchar,"[0-9, A-Z; Símbolos], b","Especifique, b blanco"
P7_30_1,7.30 ¿Su pago por Internet ha sido con: 1. tarjeta de débito?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_30_2,2. tarjeta de crédito?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_30_3,3. transferencias bancarias?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_30_4,4. medios electrónicos como PayPal o mercado pago?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_30_5,5. Otro medio,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_30_5E,Especifique,250,Varchar,"[0-9, A-Z; Símbolos], b","Especifique, b blanco"
P7_31,"7.31 En los últimos tres meses, ¿ha hecho uso de la Banca electrónica?",1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_32_1,7.32 ¿Las operaciones que ha realizado en la Banca electrónica en los últimos tres meses son: 1. consultas de saldo?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_32_2,2. transferencias?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_32_3,"3. pago de servicios (luz, agua, etcétera)",1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_32_4,4. compra de tiempo aire?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_32_5,5. Otras operaciones bancarias,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_32_5E,Especifique,250,Varchar,"[0-9, A-Z; Símbolos], b","Especifique, b blanco"
P7_33_1,"7.33 En los últimos 12 meses, ¿ha utilizado usted el Internet para: 1. comunicarse con el gobierno?",1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_33_2,2. consultar información del gobierno?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_33_3,3. descargar formatos del gobierno?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_33_4,4. realizar trámites del gobierno?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_33_5,5. Otra interacción,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_33_5E,Especifique,250,Varchar,"[0-9, A-Z; Símbolos], b","Especifique, b blanco"
P7_34_1,"7.34 En los últimos 12 meses por Internet, ¿ha realizado usted: 1. declaración de impuestos?",1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_34_2,"2. gestión o solicitud de documentos personales como CURP, credencial de elector, cédula profesional, pasaporte, etc.?",1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_34_3,"3. trámites en instituciones de educación pública como inscripciones, solicitud de historial académico, etc.?",1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_34_4,4.Otros trámites,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P7_34_4E,Especifique,250,Varchar,"[0-9, A-Z; Símbolos], b","Especifique, b blanco"
P7_35,"7.35 En los últimos 12 meses, ¿con qué frecuencia ha realizado las consultas o trámites de gobierno?",1,Varchar,"[1-4], b","1 Mensualmente (1 o más veces al mes),2 Trimestralmente,3 Semestralmente,4 Anualmente,b blanco"
P8_1,8.1 ¿Dispone usted de celular?,1,Varchar,[1-2],"1 Sí, 2 No"
P8_2,8.2 ¿Por qué no dispone de un celular (común o Smartphone)?,1,Varchar,"[1-5], b","1 Por falta de recursos económicos,2 No lo necesita,3 No hay servicio en su localidad (falta de infraestructura, cobertura de red),4 Seguridad,5 Otra razón,b blanco"
P8_2E,Especifique,250,Varchar,"[0-9, A-Z; Símbolos], b","Especifique, b blanco"
P8_3_1,8.3 ¿El celular que usa es: común?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P8_4_1,8.4 ¿Cuántos celulares utiliza del común?,2,Varchar,"[01-05], b","Número de celulares comunes que utiliza, b blanco"
P8_3_2,8.3 ¿El celular que usa es: inteligente (Smartphone)?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P8_4_2,8.4 ¿Cuántos celulares utiliza del inteligente (Smartphone)?,2,Varchar,"[01-05], b","Número de celulares inteligentes que utiliza, b blanco"
P8_5,"8.5 En los últimos tres meses, ¿con qué frecuencia utilizó el celular para hacer o recibir llamadas?",1,Varchar,"[1-4], b","1 Diario (7 días a la semana),2 Al menos una vez a la semana,3 Una vez al mes,4 Con otra frecuencia menor,b blanco"
P8_6_1,8.6 El servicio de celular ¿lo paga por: 1. recarga de tiempo aire (prepago)?,1,Varchar,"[1-2], 9 b","1 Sí,2 No,9 No sabe,b blanco"
P8_6_2,2. plan tarifario (pospago)?,1,Varchar,"[1-2], 9 b","1 Sí,2 No,9 No sabe,b blanco"
P8_7,8.7 ¿Cuál es su gasto promedio al mes en celular?,4,Varchar,"[0001-9999], b","00001-9998 Gasto promedio al mes por celular,9999 No sabe,b blanco"
P8_8,8.8 ¿Qué tan satisfecho(a) está con el servicio para hacer o recibir llamadas (servicio de voz)?,1,Varchar,"[1-2], 8, b","1 Satisfecho,2 Insatisfecho,8 No quiso o no supo responder,b blanco"
P8_9,8.9 ¿Se conecta a Internet por medio de su celular inteligente (Smartphone)?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P8_10_1,8.10 ¿Se conecta a Internet mediante: WiFi?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P8_10_2,red celular (conexión de datos)?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P8_11,8.11 ¿Ha instalado alguna aplicación en su celular inteligente (Smartphone)?,1,Varchar,"[1-2], 9, b","1 Sí,2 No,9 No sabe,b blanco"
P8_12_1,8.12 ¿Las aplicaciones son: gratuitas?,1,Varchar,"[1-2], 9, b","1 Sí,2 No,9 No sabe,b blanco"
P8_12_2,con costo?,1,Varchar,"[1-2], 9, b","1 Sí,2 No,9 No sabe,b blanco"
P8_13_1,"8.13 ¿Ha instalado aplicaciones para: 1. mensajería instantánea (WhatsApp, Messenger, Telegram, etc.)?",1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P8_13_2,"2. acceder a contenidos de audio y video (Youtube, Spotify, Grooveshark, etc.)?",1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P8_13_3,"3. adquirir bienes o servicios (Cabify, Mercado Libre, Rappi, Uber, etc.)?",1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P8_13_4,"4. tránsito y navegación asistida (Google Maps, Waze, etc.)?",1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P8_13_5,"5. jugar (Pokemon go, Candy Crush, etc.)?",1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P8_13_6,"6. acceder a redes sociales (Facebook, Instagram, Twitter, etc.)?",1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P8_13_7,"7. acceder a Banca móvil (Bancomer, Banamex, etc.)?",1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P8_13_8,8. Otras aplicaciones,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P8_13_8E,Especifique,250,Varchar,"[0-9, A-Z; Símbolos], b","Especifique, b blanco"
P8_14,8.14 ¿Con qué frecuencia hace uso de Internet con el celular inteligente (Smartphone)?,1,Varchar,"[1-6], b","1 Diario (7 días a la semana),2 Al menos una vez a la semana,3 Una vez cada quince días,4 Una vez al mes,5 Al menos una vez cada seis meses,6 Al menos una vez al año,b blanco"
P8_15,8.15 ¿Qué tan satisfecho está con el servicio de datos (conexión de red) de su celular inteligente (Smartphone)?,1,Varchar,"[1-2], 8, b","1 Satisfecho,2 Insatisfecho,8 No quiso o no supo responder,b blanco"
CD_ENDUTIH,Ciudad de levantamiento,2,Varchar,"[01-70], b",Catálogo tc_ciudad
ENT,Entidad,2,Varchar,[01-32],Entidad
FAC_PER,Factor,5,Varchar,[10-27173],Factor
