CAMPO,DESCRIPCION,LONGITUD,TIPO_DATO,RANGO_VALIDO,METADATOS
P5_9_1,"5.9 Entonces, ¿su paquete incluye un servicio que no utiliza?: 1. TV de paga, telefonía fija e Internet?",1,Varchar,"[1-2], 8, b","1 Sí,2 No,9 No responde,b blanco"
P5_6_2,"5.6 De los servicios de (OPCIÓN DE 5.5), ¿Dígame si los disponen en paquete o los reciben de manera separada?: 2. TV de paga y telefonía fija?",1,Varchar,"[1-2], 9, b","1 Sí,2 No,9 No sabe,b blanco"
P5_7_2,"5.7 En el último mes, ¿cuál es el monto del pago realizado por el servicio de: 2. TV de paga y telefonía fija?",4,Varchar,"[0000-9999], b","0000 No paga,0001-9998 Monto del recibo más reciente,9999 No sabe,b blanco"
P5_8_2,5.8 ¿Reciben sin pago el servicio: 2. TV de paga y telefonía fija?,1,Varchar,"[1-2], 9, b","1 Sí,2 No,9 No sabe,b blanco"
P5_9_2,"5.9 Entonces, ¿su paquete incluye un servicio que no utiliza?: 2. TV de paga y telefonía fija?",1,Varchar,"[1-2], 8, b","1 Sí,2 No,9 No responde,b blanco"
P5_6_3,"5.6 De los servicios de (OPCIÓN DE 5.5), ¿Dígame si los disponen en paquete o los reciben de manera separada?: 3. TV de paga e Internet?",1,Varchar,"[1-2], 9, b","1 Sí,2 No,9 No sabe,b blanco"
P5_7_3,"5.7 En el último mes, ¿cuál es el monto del pago realizado por el servicio de: 3. TV de paga e Internet?",4,Varchar,"[0000-9999], b","0000 No paga,0001-9998 Monto del recibo más reciente,9999 No sabe,b blanco"
P5_8_3,5.8 ¿Reciben sin pago el servicio: 3. TV de paga e Internet?,1,Varchar,"[1-2], 9, b","1 Sí,2 No,9 No sabe,b blanco"
P5_9_3,"5.9 Entonces, ¿su paquete incluye un servicio que no utiliza?: 3. TV de paga e Internet?",1,Varchar,"[1-2], 8, b","1 Sí,2 No,9 No responde,b blanco"
P5_6_4,"5.6 De los servicios de (OPCIÓN DE 5.5), ¿Dígame si los disponen en paquete o los reciben de manera separada?: 4. Telefonía fija e Internet?",1,Varchar,"[1-2], 9, b","1 Sí,2 No,9 No sabe,b blanco"
P5_7_4,"5.7 En el último mes, ¿cuál es el monto del pago realizado por el servicio de: 4. Telefonía fija e Internet?",4,Varchar,"[0000-9999], b","0000 No paga,0001-9998 Monto del recibo más reciente,9999 No sabe,b blanco"
P5_8_4,5.8 ¿Reciben sin pago el servicio: 4. Telefonía fija e Internet?,1,Varchar,"[1-2], 9, b","1 Sí,2 No,9 No sabe,b blanco"
P5_9_4,"5.9 Entonces, ¿su paquete incluye un servicio que no utiliza?: 4. Telefonía fija e Internet?",1,Varchar,"[1-2], 8, b","1 Sí,2 No,9 No responde,b blanco"
P5_6_5,"5.6 De los servicios de (OPCIÓN DE 5.5), ¿Dígame si los disponen en paquete o los reciben de manera separada?: 5. Solo TV de paga?",1,Varchar,"[1-2], 9, b","1 Sí,2 No,9 No sabe,b blanco"
P5_7_5,"5.7 En el último mes, ¿cuál es el monto del pago realizado por el servicio de: 5. Solo TV de paga?",4,Varchar,"[0000-9999], b","0000 No paga,0001-9998 Monto del recibo más reciente,9999 No sabe,b blanco"
P5_8_5,5.8 ¿Reciben sin pago el servicio: 5. Solo TV de paga?,1,Varchar,"[1-2], 9, b","1 Sí,2 No,9 No sabe,b blanco"
P5_6_6,"5.6 De los servicios de (OPCIÓN DE 5.5), ¿Dígame si los disponen en paquete o los reciben de manera separada?: 6. Solo telefonía fija?",1,Varchar,"[1-2], 9, b","1 Sí,2 No,9 No sabe,b blanco"
P5_7_6,"5.7 En el último mes, ¿cuál es el monto del pago realizado por el servicio de: 6. Solo telefonía fija?",4,Varchar,"[0000-9999], b","0000 No paga,0001-9998 Monto del recibo más reciente,9999 No sabe,b blanco"
P5_8_6,5.8 ¿Reciben sin pago el servicio: 6. Solo telefonía fija?,1,Varchar,"[1-2], 9, b","1 Sí,2 No,9 No sabe,b blanco"
P5_6_7,"5.6 De los servicios de (OPCIÓN DE 5.5), ¿Dígame si los disponen en paquete o los reciben de manera separada?: 7. Solo Internet?",1,Varchar,"[1-2], 9, b","1 Sí,2 No,9 No sabe,b blanco"
P5_7_7,"5.7 En el último mes, ¿cuál es el monto del pago realizado por el servicio de: 7. Solo Internet?",4,Varchar,"[0000-9999], b","0000 No paga,0001-9998 Monto del recibo más reciente,9999 No sabe,b blanco"
P5_8_7,5.8 ¿Reciben sin pago el servicio: 7. Solo Internet?,1,Varchar,"[1-2], 9, b","1 Sí,2 No,9 No sabe,b blanco"
P5_10_1,5.10 ¿Qué tan satisfecho(a) está con el servicio de: 1. Internet?,1,Varchar,"[1-3], 8, b","1 Satisfecho,2 Insatisfecho,3 No cuenta con el servicio,8 No quiso o no supo responder,b blanco"
P5_10_2,2. TV de paga?,1,Varchar,"[1-3], 8, b","1 Satisfecho,2 Insatisfecho,3 No cuenta con el servicio,8 No quiso o no supo responder,b blanco"
P5_10_3,3. Telefonía fija?,1,Varchar,"[1-3], 8, b","1 Satisfecho,2 Insatisfecho,3 No cuenta con el servicio,8 No quiso o no supo responder,b blanco"
CD_ENDUTIH,Ciudad de levantamiento,2,Varchar,"[01-70], b",Catálogo tc_ciudad
ENT,Entidad,2,Varchar,[01-32],Entidad
FAC_HOG,Factor,4,Varchar,[10-4150],Factor
UPM_DIS,Unidad primaria de muestreo,5,Varchar,[1-10006],Unidad primaria de muestreo
EST_DIS,Estrato de diseño muestral,3,Varchar,[1-587],Estrato de diseño muestral
